Healthy, Infected, Recovered, Immune
58626,7743,33631,0
58600,7735,33665,0
58579,7717,33704,0
58524,7728,33748,0
58489,7731,33780,0
58453,7731,33816,0
58420,7739,33841,0
58388,7716,33896,0
58353,7718,33929,0
58308,7697,33995,0
58273,7690,34037,0
58228,7692,34080,0
58192,7678,34130,0
58151,7689,34160,0
58115,7681,34204,0
58075,7666,34259,0
58031,7676,34293,0
57988,7674,34338,0
57956,7671,34373,0
57943,7645,34412,0
57900,7658,34442,0
57839,7692,34469,0
57818,7698,34484,0
57796,7693,34511,0
57771,7700,34529,0
57738,7700,34562,0
57706,7693,34601,0
57685,7675,34640,0
57638,7662,34700,0
57600,7673,34727,0
57574,7674,34752,0
57571,7662,34767,0
57538,7661,34801,0
57523,7646,34831,0
57502,7621,34877,0
57479,7623,34898,0
57445,7617,34938,0
57419,7598,34983,0
57389,7613,34998,0
57368,7609,35023,0
57332,7604,35064,0
57307,7597,35096,0
57274,7617,35109,0
57248,7589,35163,0
57210,7586,35204,0
57151,7614,35235,0
57103,7608,35289,0
57061,7609,35330,0
57030,7608,35362,0
57021,7586,35393,0
56997,7572,35431,0
56984,7555,35461,0
56965,7551,35484,0
56932,7569,35499,0
56890,7591,35519,0
56859,7584,35557,0
56831,7584,35585,0
56795,7603,35602,0
56774,7590,35636,0
56757,7594,35649,0
56736,7594,35670,0
56700,7606,35694,0
56683,7617,35700,0
56651,7621,35728,0
56637,7616,35747,0
56617,7603,35780,0
56586,7617,35797,0
56566,7609,35825,0
56549,7599,35852,0
56514,7602,35884,0
56470,7611,35919,0
56441,7607,35952,0
56426,7585,35989,0
56401,7589,36010,0
56348,7616,36036,0
56313,7615,36072,0
56283,7630,36087,0
56250,7653,36097,0
56228,7701,36071,0
56219,7763,36018,0
56196,7828,35976,0
56165,7876,35959,0
56137,7923,35940,0
56114,7949,35937,0
56088,7963,35949,0
56076,7930,35994,0
56064,7930,36006,0
56020,7915,36065,0
56005,7876,36119,0
55975,7878,36147,0
55951,7868,36181,0
55929,7868,36203,0
55912,7872,36216,0
55862,7892,36246,0
55852,7871,36277,0
55810,7907,36283,0
55782,7899,36319,0
55753,7900,36347,0
55729,7886,36385,0
55710,7874,36416,0
55699,7859,36442,0
55679,7878,36443,0
55652,7887,36461,0
55621,7908,36471,0
55583,7916,36501,0
55542,7921,36537,0
55508,7927,36565,0
55494,7929,36577,0
55446,7928,36626,0
55424,7933,36643,0
55393,7926,36681,0
55357,7939,36704,0
55342,7905,36753,0
55321,7893,36786,0
55305,7880,36815,0
55263,7898,36839,0
55247,7904,36849,0
55250,7910,36840,0
55225,7910,36865,0
55195,7904,36901,0
55174,7912,36914,0
55169,7919,36912,0
55160,7920,36920,0
55149,7912,36939,0
55122,7919,36959,0
